Company,Employees,Company Location,Industry,Company URL
J.A. Brown Company,9.0,"Conshohocken, Pennsylvania",Mechanical Or Industrial Engineering,https://app.apollo.io/#/organizations/5d35eb9b80f93ebd6d94b7b0
Sarah Bernard Realty Team,8.0,"St. Louis, Missouri",Real Estate,https://app.apollo.io/#/organizations/5db12a00c3501900018e3c4d
TeleNeph LLC,3.0,"Centennial, Colorado",Hospital & Health Care,https://app.apollo.io/#/organizations/6138d8953665f700a4a9a8d7
Juvenile Solutions Pvt. Ltd.,6.0,"Indiana, US",Staffing & Recruiting,https://app.apollo.io/#/organizations/5d0a0b7ff651258aca8034fa
Christian Business Women's Network International,5.0,"Stockbridge, Georgia",Nonprofit Organization Management,https://app.apollo.io/#/organizations/643ef601a5b33200dac20afb
Applied Intelligent Systems,8.0,"East Rutherford, New Jersey",Information Technology & Services,https://app.apollo.io/#/organizations/54a25e1f7468692e7120c81d
Talkhouse Encore,3.0,"East Hampton, New York",Food & Beverages,https://app.apollo.io/#/organizations/60d0a54785534a00a4f1afe0
"iON Dealer, Inc.",2.0,"Fort Myers, Florida",Automotive,https://app.apollo.io/#/organizations/61ec61f3d0523b000127411b
Enofrigo America,2.0,"South Bend, Indiana",Food & Beverages,https://app.apollo.io/#/organizations/616c6fd094b83a00a4ba7c63
NurseBrain® (Google Accelerator '24),1.0,"San Jose, California","Hospital & Health Care,",https://app.apollo.io/#/organizations/615bfae9ca42b80001cd32f9
Solar Blaze,1.0,"Miami, Florida",Renewables & Environment,https://app.apollo.io/#/organizations/60d2495fbf30710112353346
Craft 1861,3.0,"Albuquerque, New Mexico","Health, Wellness & Fitness",https://app.apollo.io/#/organizations/5e1356b3b1233c008ceca860
Klaire Labs,5.0,"Reno, Nevada",Alternative Medicine,https://app.apollo.io/#/organizations/6194e2db338f8800a490fdf4
Core Themes,2.0,"New York, US",Human Resources,https://app.apollo.io/#/organizations/54a1b26774686942d3470d09
Freedom Technologies Group,4.0,"Fort Wayne, Indiana",Medical Devices,https://app.apollo.io/#/organizations/60b08134e3cdc40001dc8ec0
Trigard Burial & Cremation Vaults,3.0,"Danville, Illinois",Mechanical Or Industrial Engineering,https://app.apollo.io/#/organizations/5e563895524b290001194c52
WDB Marketing,10.0,"South Holland, Illinois","Marketing & Advertising,",https://app.apollo.io/#/organizations/5e57a768e983c800017b6e3a
Nectar Strategic Consulting,7.0,"Holyoke, Massachusetts",Hospital & Health Care,https://app.apollo.io/#/organizations/5ed216caabf8dd0001a3a7d5
Dove Studio,8.0,"Roswell, Georgia",Design,https://app.apollo.io/#/organizations/55f277e5f3e5bb0c0c004cef
Byond,5.0,"Sterling, Virginia",Management Consulting,https://app.apollo.io/#/organizations/5ca6027b0e15e00af6138e71
Annum,2.0,"Saint Paul, Minnesota",,https://app.apollo.io/#/organizations/5f2042ab3c7c8b00f80b8118
Kyowa Electronic Instruments - Americas,5.0,"Novi, Michigan",Electrical/electronic Manufacturing,https://app.apollo.io/#/organizations/615bc2e2e6071b0001c58302
LightSpeed VT | Midwest,3.0,"Wichita, Kansas","Professional Training & Coaching,",https://app.apollo.io/#/organizations/5b85d5d2f874f76dba6407c2
Display NOW Digital Signage,2.0,"Boston, Massachusetts",Marketing & Advertising,https://app.apollo.io/#/organizations/5edba6c0bdd7ea000155216b
Kelly-Mincks,5.0,"Woodinville, Washington","Hospitality, Restaurants",https://app.apollo.io/#/organizations/5da4feb2c263a300010cb638
"Thred Technologies, Inc.",1.0,"Seattle, Washington",,https://app.apollo.io/#/organizations/6360cf5c2082c700a3d020d8
Hornsby Creative,1.0,"Asheville, North Carolina","Design, Graphic Design",https://app.apollo.io/#/organizations/5b84ba1a324d444bd701b20d
Universal Solar Services,2.0,"Altamonte Springs, Florida",Oil & Energy,https://app.apollo.io/#/organizations/55eca883f3e5bb1353006637
Atlas Alignment Growth Partners,2.0,"Buffalo, New York",Management Consulting,https://app.apollo.io/#/organizations/54a1280269702d90a2ff0001
HDOnTap,6.0,"Del Mar, California",Media Production,https://app.apollo.io/#/organizations/55698a067369642579115400
WHITEBOX LED,2.0,"Phoenix, Arizona",Electrical/electronic Manufacturing,https://app.apollo.io/#/organizations/60f2e7314e9472000148c8df
Capital Boutiq,5.0,"Dallas, Texas","Real Estate, Construction",https://app.apollo.io/#/organizations/5f47ced48754b40001b16460
OpenAVN,2.0,"New York, New York","Computer & Network Security,",https://app.apollo.io/#/organizations/55f2c9a4f3e5bb0bbf007ff5
"Integris Hampton, NH",4.0,"Hampton, New Hampshire",Computer & Network Security,https://app.apollo.io/#/organizations/5d09ae8480f93ea36c034b84
Maker City,6.0,"San Francisco, California",Civic & Social Organization,https://app.apollo.io/#/organizations/5a9eec33a6da98d94d92e1dc
MultiSite LED,6.0,"Charlotte, North Carolina",Facilities Services,https://app.apollo.io/#/organizations/5a9e536ca6da98d93ee0c971
"Seattle Sport Sciences, Inc.",2.0,"Redmond, Washington",Sports,https://app.apollo.io/#/organizations/5da3f3cd29ef830001f5bdea
REN Marketing LLC,5.0,"Doral, Florida",Marketing & Advertising,https://app.apollo.io/#/organizations/5a9f1fe4a6da98d997808dec
WAO FLEX,2.0,"Coral Gables, Florida",Financial Services,https://app.apollo.io/#/organizations/5e566931aadbea0001ebe9c3
ClawdiaAI,2.0,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/61eba645424c260001667745
Newcleus Credit Union Advisors,4.0,"Newtown, Pennsylvania",Financial Services,https://app.apollo.io/#/organizations/5da4d226c1073c0001308590
Credit Wellness Solutions LLC,4.0,"New Bern, North Carolina",Financial Services,https://app.apollo.io/#/organizations/61ec8891e68d780001b73989
Xverify,3.0,"Chicago, Illinois","Internet, Information Technology & Services",https://app.apollo.io/#/organizations/5569d45373696425792aa000
WildFig Data,7.0,"Harrisburg, Pennsylvania",Think Tanks,https://app.apollo.io/#/organizations/56db695ef3e5bb07d50018f9
Sound Xperience,6.0,"Jenkintown, Pennsylvania",Internet,https://app.apollo.io/#/organizations/55697f5c736964259c573f00
The Legacy Funds,2.0,"Austin, Texas",Financial Services,https://app.apollo.io/#/organizations/5e560993524b290001182696
Lompoc Valley Chamber of Commerce & Visitors Bureau,6.0,"Lompoc, California",Civic & Social Organization,https://app.apollo.io/#/organizations/54a1a96e74686949e76fc205
The AutoEthnographer Literary & Arts Magazine,6.0,"Fort Lauderdale, Florida",Publishing,https://app.apollo.io/#/organizations/63bb7a4861327f0001fe6767
Grace Recovery TX,3.0,"Austin, Texas",Individual & Family Services,https://app.apollo.io/#/organizations/61ec4dcf3424bb0001db137b
"Boulder BioComputing, Inc.",9.0,"Boulder, Colorado",Research,https://app.apollo.io/#/organizations/5b83733ef874f73891e62aed
LITEBEAM,1.0,"Dallas, Texas",Mechanical Or Industrial Engineering,https://app.apollo.io/#/organizations/63b83b1108993200f93179dd
Credit Today Online,5.0,"Roanoke, Virginia",Publishing,https://app.apollo.io/#/organizations/56e6d195f3e5bb3a2400c774
MasterVision Products,5.0,"Coconut Creek, Florida",Business Supplies & Equipment,https://app.apollo.io/#/organizations/57c4cde8a6da986a77cccd8f
Gannon Real Estate & Consulting,7.0,"Ames, Iowa",Real Estate,https://app.apollo.io/#/organizations/66007c312515920007c3dca9
Verde Natural Dablogic Colorado,4.0,"Denver, Colorado",Alternative Medicine,https://app.apollo.io/#/organizations/64f1adbfe760a400a30acbe9
NewSublease,1.0,"New York, New York",Information Technology & Services,https://app.apollo.io/#/organizations/64af79f06fae3100013d1b22
Flare,5.0,"Chicago, Illinois",Information Technology & Services,https://app.apollo.io/#/organizations/629f799137adbd00c9bde9ff
SNIPR.ai,1.0,"Charlottesville, Virginia",Information Technology & Services,https://app.apollo.io/#/organizations/64a13698141f4d00016313fe
